material_type,weight_g,moisture_pct,size_cm,is_contaminated,recyclable,recommended_bin
glass,108.03,58.62,10.93,0,1,recyclable
organic,50.21,49.24,18.26,0,0,organic
paper,75.85,19.23,16.9,0,1,recyclable
paper,132.22,46.39,24.83,0,1,recyclable
plastic,131.49,24.58,12.54,0,1,recyclable
metal,134.47,91.48,9.85,0,1,recyclable
plastic,151.28,33.54,10.34,1,1,recyclable
metal,120.35,95.23,13.59,0,1,recyclable
paper,135.9,53.31,20.11,1,1,recyclable
plastic,117.3,63.15,20.17,0,1,recyclable
e-waste,188.92,54.29,11.72,0,0,hazardous
organic,205.94,12.94,13.27,0,0,organic
glass,48.66,37.58,8.94,0,1,recyclable
metal,104.68,9.91,9.46,0,1,recyclable
e-waste,121.96,62.3,17.23,0,0,hazardous
glass,103.99,44.69,20.01,0,1,recyclable
glass,227.58,77.8,8.51,0,1,recyclable
plastic,133.44,22.05,13.21,0,1,recyclable
glass,71.68,16.46,10.78,1,1,recyclable
organic,155.79,40.63,16.32,0,0,organic
e-waste,136.26,92.66,10.06,0,0,hazardous
glass,138.25,71.04,2.37,0,1,recyclable
plastic,228.47,41.89,17.02,0,1,recyclable
organic,141.05,51.73,10.48,0,0,organic
paper,101.78,8.42,11.0,0,1,recyclable
e-waste,5.0,98.46,14.18,0,0,hazardous
glass,110.08,66.64,13.76,0,1,recyclable
plastic,198.36,28.54,14.28,0,1,recyclable
paper,114.53,58.58,3.85,1,1,recyclable
paper,5.0,10.95,14.78,0,1,recyclable
metal,90.1,96.58,2.45,0,1,recyclable
organic,179.56,17.48,15.85,0,0,organic
glass,152.75,64.8,17.59,1,1,recyclable
plastic,69.61,24.55,5.16,0,1,recyclable
metal,86.08,71.76,13.64,0,1,recyclable
organic,95.36,77.68,17.29,0,0,organic
metal,80.24,67.34,9.75,0,1,recyclable
e-waste,5.0,61.45,15.37,0,0,hazardous
organic,165.82,89.25,1.0,1,0,organic
organic,195.42,7.86,17.49,0,0,organic
glass,28.89,33.09,12.15,0,1,recyclable
organic,194.63,24.83,10.71,0,0,organic
metal,113.82,98.8,16.92,0,1,recyclable
organic,193.51,38.94,20.65,0,0,organic
glass,122.28,73.26,14.43,1,1,recyclable
glass,128.13,68.47,20.04,0,1,recyclable
e-waste,142.35,21.21,4.23,1,0,hazardous
metal,72.6,23.9,15.33,1,1,recyclable
paper,191.68,28.13,11.34,0,1,recyclable
paper,52.72,41.11,8.06,0,1,recyclable
organic,95.88,23.43,2.36,0,0,organic
e-waste,151.46,1.97,15.06,0,0,hazardous
plastic,89.45,87.94,16.38,0,1,recyclable
organic,166.65,96.56,18.71,0,0,organic
e-waste,202.55,34.16,17.88,0,0,hazardous
metal,180.75,33.85,8.14,1,1,recyclable
metal,5.0,0.71,18.45,1,1,recyclable
metal,127.55,68.03,18.98,0,1,recyclable
metal,181.72,82.54,10.7,0,1,recyclable
metal,41.0,14.66,12.14,0,1,recyclable
e-waste,163.42,15.97,7.33,0,0,hazardous
e-waste,160.05,79.01,19.4,0,0,hazardous
glass,47.27,61.63,4.44,0,1,recyclable
paper,170.05,4.49,14.67,0,1,recyclable
metal,136.36,62.25,9.02,0,1,recyclable
plastic,159.02,30.89,6.46,0,1,recyclable
e-waste,62.02,36.87,2.63,0,0,hazardous
plastic,129.01,76.97,10.92,0,1,recyclable
plastic,17.71,81.09,5.68,1,1,recyclable
plastic,5.0,40.04,12.28,0,1,recyclable
glass,128.45,94.72,20.85,0,1,recyclable
e-waste,186.04,40.65,13.0,0,0,hazardous
plastic,135.18,77.18,21.99,0,1,recyclable
metal,116.19,48.39,7.09,0,1,recyclable
organic,108.75,89.75,5.6,0,0,organic
plastic,63.45,90.78,6.86,1,1,recyclable
glass,106.69,8.74,11.67,0,1,recyclable
e-waste,145.3,93.65,25.61,0,0,hazardous
glass,93.89,82.55,3.69,0,1,recyclable
plastic,165.04,79.13,15.1,0,1,recyclable
e-waste,131.76,20.09,8.5,0,0,hazardous
organic,139.02,80.51,10.88,0,0,organic
plastic,173.32,85.01,5.71,0,1,recyclable
glass,88.39,28.92,16.4,0,1,recyclable
paper,159.56,95.23,11.78,0,1,recyclable
metal,96.81,4.99,17.44,0,1,recyclable
glass,140.37,14.99,12.88,0,1,recyclable
e-waste,81.25,53.76,2.34,1,0,hazardous
plastic,65.36,57.58,17.48,0,1,recyclable
metal,125.51,64.52,1.93,0,1,recyclable
plastic,6.89,1.7,2.65,0,1,recyclable
e-waste,102.22,96.04,7.41,1,0,hazardous
plastic,23.62,4.46,7.48,0,1,recyclable
paper,166.75,14.31,18.98,0,1,recyclable
metal,183.01,1.4,11.14,0,1,recyclable
metal,68.16,56.69,18.24,0,1,recyclable
e-waste,145.7,93.23,9.16,0,0,hazardous
paper,173.95,66.59,13.59,1,1,recyclable
glass,174.15,82.27,14.37,1,1,recyclable
plastic,132.87,1.33,15.48,0,1,recyclable
organic,164.06,54.2,9.68,0,0,organic
plastic,81.04,45.96,10.11,0,1,recyclable
plastic,124.99,49.9,10.51,0,1,recyclable
glass,91.97,7.22,3.74,1,1,recyclable
plastic,75.97,68.44,11.58,0,1,recyclable
paper,122.16,50.32,10.08,0,1,recyclable
paper,140.85,76.51,14.9,0,1,recyclable
metal,189.81,48.53,12.46,1,1,recyclable
e-waste,135.91,14.94,18.68,0,0,hazardous
organic,158.52,64.83,12.35,0,0,organic
plastic,159.2,17.24,9.19,0,1,recyclable
plastic,281.25,87.24,12.29,0,1,recyclable
glass,11.4,61.31,15.62,1,1,recyclable
e-waste,78.72,15.72,3.13,0,0,hazardous
paper,208.44,96.23,8.42,0,1,recyclable
organic,98.88,51.84,8.53,0,0,organic
metal,173.15,7.29,14.05,0,1,recyclable
paper,133.8,62.68,14.64,0,1,recyclable
e-waste,246.31,25.32,12.51,0,0,hazardous
metal,53.22,80.37,1.0,0,1,recyclable
glass,193.31,81.78,3.74,0,1,recyclable
glass,224.97,97.89,10.81,0,1,recyclable
plastic,59.13,50.19,9.49,1,1,recyclable
e-waste,166.97,45.5,12.03,0,0,hazardous
organic,62.07,75.35,9.65,0,0,organic
metal,121.81,13.25,19.66,1,1,recyclable
paper,104.6,54.69,1.0,0,1,recyclable
e-waste,5.0,54.62,13.51,0,0,hazardous
e-waste,145.45,8.95,16.14,0,0,hazardous
glass,128.6,41.8,15.51,0,1,recyclable
plastic,208.74,85.33,15.94,0,1,recyclable
plastic,156.67,85.62,16.66,0,1,recyclable
metal,257.45,9.92,8.98,1,1,recyclable
glass,126.42,9.07,6.49,0,1,recyclable
e-waste,113.67,26.27,1.83,0,0,hazardous
organic,108.94,87.48,10.19,0,0,organic
glass,93.62,12.89,8.11,0,1,recyclable
metal,5.0,72.0,17.81,0,1,recyclable
metal,106.79,10.12,10.56,0,1,recyclable
glass,5.0,62.31,6.85,1,1,recyclable
metal,147.12,35.61,6.06,0,1,recyclable
glass,45.6,78.89,21.94,0,1,recyclable
paper,66.34,23.37,11.89,0,1,recyclable
glass,79.84,63.92,8.09,0,1,recyclable
glass,107.7,23.57,12.62,1,1,recyclable
metal,120.41,71.37,21.48,0,1,recyclable
metal,185.07,87.37,10.05,0,1,recyclable
plastic,85.35,12.68,15.44,0,1,recyclable
plastic,148.81,86.66,17.93,1,1,recyclable
paper,283.85,59.36,2.54,1,1,recyclable
plastic,142.64,12.71,8.81,0,1,recyclable
glass,109.17,42.75,17.31,1,1,recyclable
metal,73.25,16.09,8.5,0,1,recyclable
plastic,108.34,70.03,14.07,0,1,recyclable
plastic,66.83,75.89,8.21,1,1,recyclable
paper,136.12,10.58,9.77,1,1,recyclable
e-waste,126.21,50.61,9.16,0,0,hazardous
paper,5.0,81.46,15.18,0,1,recyclable
glass,118.89,93.62,13.01,1,1,recyclable
metal,184.57,51.35,12.49,0,1,recyclable
paper,96.05,95.03,24.54,1,1,recyclable
plastic,80.83,53.57,20.7,0,1,recyclable
metal,37.34,39.42,2.09,1,1,recyclable
metal,8.52,84.82,9.78,1,1,recyclable
plastic,169.88,49.3,24.13,0,1,recyclable
paper,109.11,47.19,9.13,1,1,recyclable
plastic,166.32,49.03,22.44,0,1,recyclable
e-waste,211.88,84.68,9.87,0,0,hazardous
metal,175.27,83.19,10.83,0,1,recyclable
organic,87.46,40.35,16.32,0,0,organic
organic,128.69,33.33,11.55,0,0,organic
glass,83.11,49.19,14.47,1,1,recyclable
plastic,77.5,57.28,19.87,0,1,recyclable
plastic,140.57,23.83,15.79,0,1,recyclable
glass,70.06,79.4,12.71,1,1,recyclable
glass,5.0,48.65,20.37,0,1,recyclable
glass,66.71,33.4,16.38,0,1,recyclable
metal,101.59,10.68,8.33,0,1,recyclable
e-waste,211.28,23.88,21.9,0,0,hazardous
plastic,90.54,94.93,15.21,0,1,recyclable
metal,150.72,30.51,10.93,1,1,recyclable
glass,109.9,16.89,1.9,0,1,recyclable
plastic,193.58,46.07,5.11,1,1,recyclable
metal,189.43,30.71,20.5,0,1,recyclable
e-waste,190.57,3.52,20.7,0,0,hazardous
metal,15.96,32.31,12.43,0,1,recyclable
e-waste,132.4,54.41,3.15,0,0,hazardous
glass,165.54,55.17,6.57,0,1,recyclable
e-waste,142.89,35.66,3.88,0,0,hazardous
plastic,158.2,44.73,3.7,0,1,recyclable
glass,123.5,96.55,22.13,0,1,recyclable
plastic,75.31,37.73,22.3,0,1,recyclable
organic,18.17,25.82,6.4,0,0,organic
paper,81.27,24.35,11.96,0,1,recyclable
e-waste,280.69,45.78,5.58,0,0,hazardous
paper,90.86,75.95,11.92,0,1,recyclable
paper,5.0,20.6,20.2,0,1,recyclable
e-waste,163.96,70.93,17.39,0,0,hazardous
glass,171.33,2.11,16.04,0,1,recyclable
organic,197.24,41.89,11.03,1,0,organic
plastic,148.26,77.59,18.31,0,1,recyclable
metal,170.74,33.87,15.23,0,1,recyclable
plastic,230.41,56.37,14.02,1,1,recyclable
metal,75.27,20.5,11.42,0,1,recyclable
plastic,63.37,74.2,13.59,0,1,recyclable
e-waste,54.32,5.23,13.44,0,0,hazardous
organic,104.05,85.25,9.29,0,0,organic
metal,206.01,19.82,8.13,1,1,recyclable
glass,151.68,87.44,7.02,1,1,recyclable
plastic,149.32,35.25,7.34,0,1,recyclable
plastic,10.84,72.27,11.06,1,1,recyclable
metal,78.41,31.92,10.24,0,1,recyclable
glass,9.86,90.59,8.9,0,1,recyclable
glass,190.27,12.66,8.53,1,1,recyclable
e-waste,215.14,17.85,13.46,0,0,hazardous
e-waste,166.77,49.3,18.89,0,0,hazardous
e-waste,60.79,8.19,11.95,0,0,hazardous
e-waste,208.92,19.6,11.62,0,0,hazardous
e-waste,104.8,94.38,7.33,0,0,hazardous
e-waste,47.13,97.65,10.88,0,0,hazardous
organic,62.14,37.63,17.95,0,0,organic
glass,94.19,92.33,17.19,0,1,recyclable
e-waste,122.97,54.48,16.84,1,0,hazardous
glass,110.32,26.97,16.68,1,1,recyclable
glass,35.24,70.24,14.18,0,1,recyclable
paper,192.8,65.89,14.01,1,1,recyclable
organic,110.96,98.91,13.22,0,0,organic
e-waste,77.17,26.5,9.92,0,0,hazardous
plastic,186.62,67.21,12.42,0,1,recyclable
metal,49.0,5.2,13.08,0,1,recyclable
plastic,22.27,11.36,15.17,0,1,recyclable
organic,196.35,0.39,12.5,0,0,organic
metal,233.48,99.95,22.53,0,1,recyclable
organic,92.27,80.23,5.95,0,0,organic
glass,117.24,78.67,15.77,1,1,recyclable
metal,51.2,50.97,11.79,0,1,recyclable
glass,120.33,30.01,12.01,1,1,recyclable
plastic,91.46,15.13,7.94,1,1,recyclable
plastic,113.87,28.47,17.1,0,1,recyclable
metal,144.56,37.6,15.26,0,1,recyclable
metal,54.11,75.63,16.17,0,1,recyclable
e-waste,98.29,53.97,12.85,1,0,hazardous
organic,11.77,7.75,10.38,0,0,organic
e-waste,98.7,1.8,11.67,0,0,hazardous
organic,114.39,10.23,14.17,0,0,organic
e-waste,133.74,41.05,1.97,0,0,hazardous
glass,134.37,93.32,16.36,1,1,recyclable
metal,174.24,63.74,24.13,0,1,recyclable
plastic,27.62,80.18,14.4,1,1,recyclable
organic,30.82,46.64,10.6,0,0,organic
organic,151.74,36.17,11.19,0,0,organic
plastic,5.0,10.84,15.54,1,1,recyclable
e-waste,131.0,87.59,10.71,0,0,hazardous
organic,49.18,78.32,16.34,1,0,organic
glass,214.37,16.81,11.13,0,1,recyclable
metal,135.03,51.23,20.57,0,1,recyclable
plastic,106.85,48.74,20.43,0,1,recyclable
metal,193.66,62.51,10.35,1,1,recyclable
organic,56.2,94.62,11.59,1,0,organic
organic,67.6,57.98,11.89,0,0,organic
plastic,44.31,54.02,11.96,0,1,recyclable
glass,68.1,5.03,7.26,0,1,recyclable
paper,123.67,6.29,6.56,0,1,recyclable
plastic,149.64,18.73,18.25,0,1,recyclable
paper,177.69,3.25,17.45,0,1,recyclable
e-waste,10.52,74.34,17.36,1,0,hazardous
paper,109.69,72.33,11.65,0,1,recyclable
glass,53.51,13.61,21.46,1,1,recyclable
e-waste,107.68,83.61,11.89,0,0,hazardous
paper,260.05,15.48,16.31,0,1,recyclable
e-waste,137.51,30.12,5.06,1,0,hazardous
paper,173.97,24.9,10.85,0,1,recyclable
glass,237.64,37.23,11.22,1,1,recyclable
paper,187.64,25.47,11.67,1,1,recyclable
paper,93.13,48.9,5.37,0,1,recyclable
paper,43.45,40.74,15.52,0,1,recyclable
plastic,118.19,98.66,17.14,0,1,recyclable
plastic,85.94,5.59,8.28,0,1,recyclable
plastic,28.53,14.22,6.26,0,1,recyclable
glass,134.46,5.28,8.16,0,1,recyclable
e-waste,135.95,62.58,14.48,0,0,hazardous
organic,226.15,5.45,9.02,0,0,organic
paper,98.29,83.64,11.33,0,1,recyclable
paper,136.81,51.19,6.63,0,1,recyclable
glass,80.07,52.7,21.9,0,1,recyclable
paper,172.39,56.16,12.37,0,1,recyclable
plastic,112.52,17.08,17.75,0,1,recyclable
organic,49.64,19.77,14.47,0,0,organic
metal,119.19,31.88,11.79,0,1,recyclable
paper,143.43,59.35,11.53,0,1,recyclable
plastic,135.32,21.01,8.37,1,1,recyclable
metal,182.75,11.63,9.75,0,1,recyclable
organic,33.12,97.01,6.96,0,0,organic
metal,69.44,2.2,6.42,1,1,recyclable
plastic,158.39,80.27,22.43,1,1,recyclable
e-waste,76.48,78.8,13.39,0,0,hazardous
e-waste,134.43,29.72,19.33,0,0,hazardous
metal,5.0,13.56,8.03,0,1,recyclable
glass,282.96,14.56,5.74,0,1,recyclable
metal,103.82,69.74,7.11,1,1,recyclable
paper,191.64,64.28,9.89,0,1,recyclable
paper,99.79,78.27,12.18,1,1,recyclable
e-waste,144.88,93.75,11.25,0,0,hazardous
glass,209.52,69.19,8.13,1,1,recyclable
plastic,189.95,15.59,12.44,0,1,recyclable
paper,107.73,24.34,12.88,0,1,recyclable
e-waste,111.88,84.22,15.51,0,0,hazardous
organic,180.21,20.93,19.35,0,0,organic
e-waste,259.99,7.25,10.18,0,0,hazardous
paper,131.54,70.33,18.08,1,1,recyclable
paper,237.42,40.25,12.33,0,1,recyclable
e-waste,105.52,92.0,4.36,0,0,hazardous
plastic,177.12,65.03,20.92,0,1,recyclable
metal,186.07,9.04,23.36,0,1,recyclable
paper,95.4,94.79,15.1,1,1,recyclable
e-waste,75.18,25.86,12.45,0,0,hazardous
e-waste,188.72,33.72,10.64,0,0,hazardous
glass,88.11,40.23,9.68,0,1,recyclable
metal,66.34,5.12,18.05,0,1,recyclable
organic,78.96,49.65,11.91,1,0,organic
plastic,87.86,12.33,20.37,0,1,recyclable
organic,171.4,40.1,12.17,0,0,organic
metal,150.9,35.07,9.94,1,1,recyclable
metal,162.94,77.28,8.99,0,1,recyclable
metal,145.28,80.32,8.28,0,1,recyclable
organic,84.37,15.34,14.57,1,0,organic
metal,161.83,36.66,5.53,0,1,recyclable
e-waste,190.95,37.34,7.91,1,0,hazardous
organic,155.07,15.14,18.62,0,0,organic
metal,146.98,79.85,7.23,1,1,recyclable
e-waste,73.98,70.72,16.31,1,0,hazardous
glass,132.71,19.04,1.68,0,1,recyclable
metal,70.79,36.67,19.25,0,1,recyclable
organic,118.56,10.58,5.65,0,0,organic
paper,21.58,62.82,7.62,0,1,recyclable
metal,22.05,12.14,15.4,0,1,recyclable
paper,108.54,98.59,13.35,0,1,recyclable
e-waste,87.09,78.07,16.47,0,0,hazardous
glass,126.41,39.02,5.61,1,1,recyclable
plastic,111.91,57.86,10.57,0,1,recyclable
glass,121.81,91.13,8.91,0,1,recyclable
metal,156.52,55.41,6.45,0,1,recyclable
paper,92.2,17.45,14.98,0,1,recyclable
paper,106.83,37.87,16.72,0,1,recyclable
organic,207.3,84.31,10.32,0,0,organic
paper,120.19,64.42,19.61,1,1,recyclable
organic,109.25,65.07,8.07,1,0,organic
e-waste,124.95,86.68,19.49,0,0,hazardous
plastic,110.32,89.4,14.81,0,1,recyclable
metal,77.43,91.98,5.88,0,1,recyclable
organic,60.12,9.48,21.91,0,0,organic
plastic,74.19,54.41,9.78,0,1,recyclable
paper,172.38,74.05,18.03,0,1,recyclable
paper,82.21,75.69,12.73,0,1,recyclable
plastic,110.7,60.67,13.87,0,1,recyclable
paper,162.04,16.68,16.51,0,1,recyclable
e-waste,103.3,79.74,16.23,0,0,hazardous
e-waste,158.0,72.01,10.29,0,0,hazardous
plastic,27.55,8.61,14.66,1,1,recyclable
organic,112.05,46.38,14.28,1,0,organic
organic,124.73,17.4,13.07,0,0,organic
plastic,121.39,33.75,10.98,0,1,recyclable
organic,20.82,1.81,13.06,0,0,organic
organic,192.19,40.03,21.84,0,0,organic
e-waste,68.72,54.99,10.52,0,0,hazardous
organic,140.1,61.96,18.03,0,0,organic
glass,120.48,66.35,8.9,0,1,recyclable
metal,180.22,83.63,7.59,0,1,recyclable
paper,251.25,21.55,28.38,0,1,recyclable
glass,42.58,12.05,14.7,1,1,recyclable
organic,81.07,85.15,14.84,0,0,organic
e-waste,131.35,15.66,14.98,0,0,hazardous
plastic,53.68,97.48,19.04,0,1,recyclable
organic,166.93,84.25,14.04,0,0,organic
e-waste,170.6,50.09,16.08,0,0,hazardous
metal,153.57,98.14,6.71,0,1,recyclable
organic,134.19,9.74,16.92,0,0,organic
plastic,202.18,30.31,10.82,0,1,recyclable
e-waste,50.66,63.82,15.36,0,0,hazardous
e-waste,123.92,35.0,3.42,0,0,hazardous
e-waste,75.67,92.84,15.15,0,0,hazardous
metal,173.39,6.56,1.0,0,1,recyclable
organic,10.0,54.94,10.62,0,0,organic
metal,118.31,59.09,3.47,0,1,recyclable
paper,140.11,65.27,15.17,0,1,recyclable
paper,63.15,25.57,12.35,0,1,recyclable
organic,82.43,36.46,8.15,1,0,organic
metal,120.92,84.37,19.17,1,1,recyclable
plastic,177.31,19.49,7.52,0,1,recyclable
e-waste,58.03,82.69,1.0,1,0,hazardous
e-waste,68.49,56.27,14.57,0,0,hazardous
organic,187.54,76.22,3.17,1,0,organic
paper,103.62,71.36,7.67,0,1,recyclable
paper,73.35,20.75,9.41,0,1,recyclable
e-waste,163.72,56.88,4.88,0,0,hazardous
organic,90.71,86.77,9.53,0,0,organic
metal,181.65,43.21,4.97,0,1,recyclable
paper,80.18,96.66,12.81,1,1,recyclable
metal,110.42,45.22,5.86,0,1,recyclable
paper,176.7,14.28,12.15,0,1,recyclable
paper,106.42,38.94,17.81,0,1,recyclable
glass,165.36,95.17,15.91,0,1,recyclable
paper,116.07,31.97,11.59,0,1,recyclable
plastic,238.9,86.81,7.06,0,1,recyclable
organic,214.13,88.13,12.8,0,0,organic
organic,40.31,35.02,8.52,0,0,organic
metal,151.33,8.33,13.01,0,1,recyclable
paper,71.02,72.46,3.42,0,1,recyclable
plastic,131.49,31.15,16.04,0,1,recyclable
metal,124.1,78.29,12.17,1,1,recyclable
glass,56.68,44.27,23.04,0,1,recyclable
metal,183.51,48.53,18.53,0,1,recyclable
metal,132.2,77.79,14.83,0,1,recyclable
paper,102.92,38.24,11.38,0,1,recyclable
glass,93.71,44.31,8.35,0,1,recyclable
metal,128.39,37.62,16.71,0,1,recyclable
plastic,144.48,36.73,10.85,0,1,recyclable
plastic,112.5,52.59,17.84,0,1,recyclable
organic,5.0,80.88,14.0,0,0,organic
glass,121.01,36.18,14.04,0,1,recyclable
glass,33.51,52.43,14.97,0,1,recyclable
organic,107.43,67.07,7.4,0,0,organic
metal,35.73,26.94,6.89,0,1,recyclable
glass,35.01,27.75,6.72,0,1,recyclable
plastic,194.11,93.34,17.24,1,1,recyclable
plastic,100.79,72.35,7.27,0,1,recyclable
paper,96.2,57.72,7.89,0,1,recyclable
glass,148.95,64.77,14.69,0,1,recyclable
metal,97.76,2.93,10.74,0,1,recyclable
organic,246.23,61.81,10.1,0,0,organic
organic,103.62,50.95,9.67,0,0,organic
metal,141.91,54.57,1.0,0,1,recyclable
e-waste,178.26,35.94,7.17,0,0,hazardous
paper,216.14,8.15,17.91,0,1,recyclable
organic,75.48,19.33,9.3,0,0,organic
glass,94.92,95.07,2.5,0,1,recyclable
paper,196.48,40.87,6.96,1,1,recyclable
glass,168.6,46.67,13.8,0,1,recyclable
plastic,184.51,5.27,13.7,1,1,recyclable
paper,37.88,3.76,10.53,1,1,recyclable
organic,212.88,71.72,8.55,1,0,organic
paper,74.32,53.81,4.99,1,1,recyclable
paper,131.54,50.87,13.84,0,1,recyclable
paper,111.11,24.31,16.19,0,1,recyclable
e-waste,67.29,74.48,18.44,0,0,hazardous
paper,35.25,16.82,6.45,0,1,recyclable
glass,15.37,18.99,18.83,1,1,recyclable
plastic,127.14,46.07,11.72,1,1,recyclable
metal,28.48,28.63,12.13,0,1,recyclable
paper,51.97,24.75,16.47,0,1,recyclable
organic,106.92,64.52,9.3,0,0,organic
paper,5.0,65.1,1.18,0,1,recyclable
organic,166.74,82.45,15.52,0,0,organic
glass,5.0,41.77,13.74,0,1,recyclable
organic,115.36,7.31,10.2,1,0,organic
metal,120.9,27.37,15.11,0,1,recyclable
plastic,152.28,98.0,16.13,1,1,recyclable
organic,117.5,59.63,4.44,0,0,organic
organic,241.07,70.97,12.11,1,0,organic
plastic,132.98,0.74,1.0,0,1,recyclable
metal,183.22,51.82,11.38,1,1,recyclable
paper,76.59,3.75,10.14,0,1,recyclable
organic,127.25,56.92,14.46,0,0,organic
